gene_id	n_transcripts
LOC107449733	7
LOC107449997	7
LOC107450046	7
LOC107450051	7
LOC107450289	7
LOC107450596	7
LOC107450884	7
LOC107450940	7
LOC107450996	7
LOC107451032	7
LOC107451273	7
LOC107451419	7
LOC107451449	7
LOC107451544	7
LOC107451579	7
LOC107452112	7
LOC107452116	7
LOC107452215	7
LOC107452298	7
LOC107452305	7
LOC107452383	7
LOC107452900	7
LOC107452904	7
LOC107452951	7
LOC107453045	7
LOC107453131	7
LOC107453173	7
LOC107453320	7
LOC107453332	7
LOC107453438	7
LOC107453447	7
LOC107453504	7
LOC107453723	7
LOC107453971	7
LOC107454101	7
LOC107454284	7
LOC107454495	7
LOC107454567	7
LOC107454859	7
LOC107454875	7
LOC107454941	7
LOC107454942	7
LOC107454956	7
LOC107455064	7
LOC107455088	7
LOC107455104	7
LOC107455110	7
LOC107455132	7
LOC107455303	7
LOC107455507	7
LOC107455546	7
LOC107455611	7
LOC107455797	7
LOC107455801	7
LOC107456238	7
LOC107456638	7
LOC107456700	7
LOC107456785	7
LOC107456968	7
LOC107457020	7
LOC107457161	7
LOC107457247	7
LOC107457352	7
LOC107457355	7
LOC107457559	7
LOC110283197	7
LOC122270034	7
LOC122271484	7
LOC122272214	7
LOC122272811	7
LOC122273127	7
LOC139425366	7
LOC107436183	6
LOC107436297	6
LOC107436303	6
LOC107436329	6
LOC107436385	6
LOC107436562	6
LOC107436641	6
LOC107436690	6
LOC107436699	6
LOC107436760	6
LOC107436787	6
LOC107436798	6
LOC107436903	6
LOC107436941	6
LOC107437008	6
LOC107437064	6
LOC107437086	6
LOC107437196	6
LOC107437218	6
LOC107437347	6
LOC107437380	6
LOC107437411	6
LOC107437673	6
LOC107437715	6
LOC107437859	6
LOC107437994	6
LOC107438138	6
LOC107438153	6
LOC107438195	6
LOC107438204	6
LOC107438250	6
LOC107438301	6
LOC107438342	6
LOC107438436	6
LOC107438735	6
LOC107438787	6
LOC107438828	6
LOC107438937	6
LOC107438996	6
LOC107439032	6
LOC107439034	6
LOC107439050	6
LOC107439218	6
LOC107439366	6
LOC107439468	6
LOC107439545	6
LOC107439560	6
LOC107439938	6
LOC107440014	6
LOC107440024	6
LOC107440072	6
LOC107440307	6
LOC107440360	6
LOC107440408	6
LOC107440469	6
LOC107440496	6
LOC107440555	6
LOC107440660	6
LOC107440667	6
LOC107440692	6
LOC107440697	6
LOC107440719	6
LOC107440772	6
LOC107440905	6
LOC107440918	6
LOC107440947	6
LOC107440967	6
LOC107440995	6
LOC107441019	6
LOC107441076	6
LOC107441200	6
LOC107441282	6
LOC107441317	6
LOC107441602	6
LOC107441814	6
LOC107441841	6
LOC107441879	6
LOC107441996	6
LOC107442065	6
LOC107442149	6
LOC107442160	6
LOC107442189	6
LOC107442225	6
LOC107442226	6
LOC107442253	6
LOC107442404	6
LOC107442512	6
LOC107442720	6
LOC107442795	6
LOC107442807	6
LOC107442910	6
LOC107442954	6
LOC107443062	6
LOC107443134	6
LOC107443151	6
LOC107443159	6
LOC107443179	6
LOC107443303	6
LOC107443371	6
LOC107443408	6
LOC107443458	6
LOC107443487	6
LOC107443613	6
LOC107443817	6
LOC107443955	6
LOC107443980	6
LOC107443983	6
LOC107443996	6
LOC107444194	6
LOC107444333	6
LOC107444359	6
LOC107444406	6
LOC107444455	6
LOC107444558	6
LOC107444591	6
LOC107444606	6
LOC107444662	6
LOC107444677	6
LOC107444682	6
LOC107444724	6
LOC107444838	6
LOC107444852	6
LOC107445061	6
LOC107445196	6
LOC107445596	6
LOC107445686	6
LOC107445829	6
LOC107445930	6
LOC107445941	6
LOC107446020	6
LOC107446132	6
LOC107446143	6
LOC107446151	6
LOC107446245	6
LOC107446381	6
LOC107446409	6
LOC107446463	6
LOC107446553	6
LOC107446605	6
LOC107446794	6
LOC107446833	6
LOC107447171	6
LOC107447205	6
LOC107447251	6
LOC107447253	6
LOC107447257	6
LOC107447303	6
LOC107447328	6
LOC107447412	6
LOC107447549	6
LOC107447552	6
LOC107447559	6
LOC107447574	6
LOC107447671	6
LOC107447687	6
LOC107447866	6
LOC107447948	6
LOC107448023	6
LOC107448091	6
LOC107448208	6
LOC107448596	6
LOC107448642	6
LOC107448697	6
LOC107448698	6
LOC107448804	6
LOC107448856	6
LOC107448889	6
LOC107448892	6
LOC107448893	6
LOC107448943	6
LOC107448983	6
LOC107449026	6
LOC107449238	6
LOC107449242	6
LOC107449588	6
LOC107449779	6
LOC107449961	6
LOC107449993	6
LOC107450056	6
LOC107450158	6
LOC107450328	6
LOC107450332	6
LOC107450334	6
LOC107450369	6
LOC107450433	6
LOC107450466	6
LOC107450543	6
LOC107450559	6
LOC107450666	6
LOC107450832	6
LOC107450979	6
LOC107451034	6
LOC107451109	6
LOC107451128	6
LOC107451321	6
LOC107451397	6
LOC107451495	6
LOC107451554	6
LOC107451563	6
LOC107451585	6
LOC107451597	6
LOC107451619	6
LOC107451669	6
LOC107451898	6
LOC107451925	6
LOC107451939	6
LOC107451965	6
LOC107452103	6
LOC107452122	6
LOC107452156	6
LOC107452167	6
LOC107452244	6
LOC107452446	6
LOC107452524	6
LOC107452541	6
LOC107452613	6
LOC107452633	6
LOC107452643	6
LOC107452726	6
LOC107452737	6
LOC107452746	6
LOC107452804	6
LOC107452807	6
LOC107453001	6
LOC107453044	6
LOC107453215	6
LOC107453330	6
LOC107453358	6
LOC107453363	6
LOC107453499	6
LOC107453639	6
LOC107453900	6
LOC107453991	6
LOC107454023	6
LOC107454034	6
LOC107454165	6
LOC107454184	6
LOC107454283	6
LOC107454330	6
LOC107454409	6
LOC107454441	6
LOC107454520	6
LOC107454607	6
LOC107454649	6
LOC107454760	6
LOC107454761	6
LOC107454794	6
LOC107454824	6
LOC107454831	6
LOC107454929	6
LOC107454933	6
LOC107455084	6
LOC107455085	6
LOC107455086	6
LOC107455121	6
LOC107455203	6
LOC107455288	6
LOC107455340	6
LOC107455357	6
LOC107455359	6
LOC107455372	6
LOC107455487	6
LOC107455513	6
LOC107455597	6
LOC107455837	6
LOC107455839	6
LOC107455859	6
LOC107455934	6
LOC107455942	6
LOC107455976	6
LOC107456112	6
LOC107456308	6
LOC107456348	6
LOC107456554	6
LOC107456663	6
LOC107456790	6
LOC107456885	6
LOC107456922	6
LOC107456962	6
LOC107457069	6
LOC107457202	6
LOC107457213	6
LOC107457231	6
LOC107457301	6
LOC107457381	6
LOC107457526	6
LOC107457551	6
LOC107457564	6
LOC110283435	6
LOC122268960	6
LOC122269938	6
LOC122271858	6
LOC122271962	6
LOC122272628	6
smo	6
LOC107436100	5
LOC107436150	5
LOC107436223	5
LOC107436261	5
LOC107436364	5
LOC107436375	5
LOC107436419	5
LOC107436671	5
LOC107436689	5
LOC107436783	5
LOC107436818	5
LOC107436836	5
LOC107436851	5
LOC107437082	5
LOC107437088	5
LOC107437112	5
LOC107437139	5
LOC107437156	5
LOC107437182	5
LOC107437256	5
LOC107437331	5
LOC107437432	5
LOC107437455	5
LOC107437470	5
LOC107437481	5
LOC107437484	5
LOC107437563	5
LOC107437622	5
LOC107437641	5
LOC107437769	5
LOC107437803	5
LOC107437940	5
LOC107438054	5
LOC107438082	5
LOC107438133	5
LOC107438139	5
LOC107438189	5
LOC107438199	5
LOC107438339	5
LOC107438407	5
LOC107438435	5
LOC107438446	5
LOC107438548	5
LOC107438610	5
LOC107438623	5
LOC107438681	5
LOC107438750	5
LOC107438770	5
LOC107438788	5
LOC107438861	5
LOC107438874	5
LOC107438875	5
LOC107438886	5
LOC107438914	5
LOC107438940	5
LOC107438986	5
LOC107439038	5
LOC107439178	5
LOC107439260	5
LOC107439293	5
LOC107439300	5
LOC107439357	5
LOC107439477	5
LOC107439498	5
LOC107439521	5
LOC107439591	5
LOC107439610	5
LOC107439615	5
LOC107439705	5
LOC107440071	5
LOC107440182	5
LOC107440320	5
LOC107440334	5
LOC107440335	5
LOC107440338	5
LOC107440418	5
LOC107440438	5
LOC107440448	5
LOC107440600	5
LOC107440695	5
LOC107440707	5
LOC107440728	5
LOC107440746	5
LOC107440773	5
LOC107440795	5
LOC107440814	5
LOC107440837	5
LOC107440869	5
LOC107440882	5
LOC107440935	5
LOC107440974	5
LOC107441010	5
LOC107441117	5
LOC107441191	5
LOC107441203	5
LOC107441233	5
LOC107441368	5
LOC107441387	5
LOC107441419	5
LOC107441477	5
LOC107441560	5
LOC107441582	5
LOC107441631	5
LOC107441646	5
LOC107441659	5
LOC107441706	5
LOC107441831	5
LOC107441872	5
LOC107441900	5
LOC107442221	5
LOC107442263	5
LOC107442279	5
LOC107442289	5
LOC107442336	5
LOC107442340	5
LOC107442379	5
LOC107442409	5
LOC107442486	5
LOC107442502	5
LOC107442514	5
LOC107442533	5
LOC107442556	5
LOC107442632	5
LOC107442665	5
LOC107442693	5
LOC107442710	5
LOC107442867	5
LOC107442905	5
LOC107443073	5
LOC107443172	5
LOC107443319	5
LOC107443343	5
LOC107443450	5
LOC107443472	5
LOC107443498	5
LOC107443521	5
LOC107443537	5
LOC107443568	5
LOC107443615	5
LOC107443637	5
LOC107443676	5
LOC107443766	5
LOC107443771	5
LOC107443889	5
LOC107443900	5
LOC107443979	5
LOC107444052	5
LOC107444070	5
LOC107444140	5
LOC107444265	5
LOC107444346	5
LOC107444387	5
LOC107444429	5
LOC107444444	5
LOC107444449	5
LOC107444554	5
LOC107444587	5
LOC107444798	5
LOC107444999	5
LOC107445000	5
LOC107445027	5
LOC107445067	5
LOC107445073	5
LOC107445112	5
LOC107445145	5
LOC107445216	5
LOC107445276	5
LOC107445328	5
LOC107445388	5
LOC107445413	5
LOC107445483	5
LOC107445535	5
LOC107445672	5
LOC107445674	5
LOC107445767	5
LOC107445965	5
LOC107446025	5
LOC107446061	5
LOC107446164	5
LOC107446261	5
LOC107446405	5
LOC107446506	5
LOC107446559	5
LOC107446614	5
LOC107446647	5
LOC107446650	5
LOC107446658	5
LOC107446827	5
LOC107447019	5
LOC107447025	5
LOC107447106	5
LOC107447180	5
LOC107447215	5
LOC107447338	5
LOC107447595	5
LOC107447636	5
LOC107447796	5
LOC107447836	5
LOC107447897	5
LOC107447950	5
LOC107447979	5
LOC107448004	5
LOC107448038	5
LOC107448055	5
LOC107448158	5
LOC107448238	5
LOC107448306	5
LOC107448401	5
LOC107448435	5
LOC107448508	5
LOC107448524	5
LOC107448565	5
LOC107448580	5
LOC107448634	5
LOC107448647	5
LOC107448727	5
LOC107448732	5
LOC107449056	5
LOC107449190	5
LOC107449211	5
LOC107449226	5
LOC107449230	5
LOC107449233	5
LOC107449376	5
LOC107449459	5
LOC107449509	5
LOC107449533	5
LOC107449600	5
LOC107449686	5
LOC107449707	5
LOC107449708	5
LOC107449777	5
LOC107449794	5
LOC107449842	5
LOC107449843	5
LOC107449885	5
LOC107449896	5
LOC107449944	5
LOC107449958	5
LOC107449989	5
LOC107450020	5
LOC107450093	5
LOC107450097	5
LOC107450104	5
LOC107450129	5
LOC107450231	5
LOC107450301	5
LOC107450411	5
LOC107450414	5
LOC107450452	5
LOC107450476	5
LOC107450487	5
LOC107450498	5
LOC107450514	5
LOC107450516	5
LOC107450578	5
LOC107450582	5
LOC107450583	5
LOC107450605	5
LOC107450710	5
LOC107450737	5
LOC107450760	5
LOC107450782	5
LOC107450821	5
LOC107450876	5
LOC107450890	5
LOC107450902	5
LOC107450908	5
LOC107451048	5
LOC107451096	5
LOC107451145	5
LOC107451173	5
LOC107451178	5
LOC107451251	5
LOC107451318	5
LOC107451352	5
LOC107451382	5
LOC107451394	5
LOC107451476	5
LOC107451509	5
LOC107451599	5
LOC107451618	5
LOC107451678	5
LOC107451810	5
LOC107451855	5
LOC107451927	5
LOC107451980	5
LOC107452047	5
LOC107452053	5
LOC107452084	5
LOC107452128	5
LOC107452152	5
LOC107452170	5
LOC107452196	5
LOC107452230	5
LOC107452256	5
LOC107452291	5
LOC107452397	5
LOC107452432	5
LOC107452455	5
LOC107452514	5
LOC107452539	5
LOC107452612	5
LOC107452619	5
LOC107452690	5
LOC107452818	5
LOC107452834	5
LOC107452902	5
LOC107452935	5
LOC107452939	5
LOC107452958	5
LOC107452981	5
LOC107452983	5
LOC107452992	5
LOC107453087	5
LOC107453162	5
LOC107453245	5
LOC107453277	5
LOC107453283	5
LOC107453296	5
LOC107453299	5
LOC107453308	5
LOC107453325	5
LOC107453327	5
LOC107453334	5
LOC107453428	5
LOC107453429	5
LOC107453432	5
LOC107453443	5
LOC107453666	5
LOC107453674	5
LOC107453701	5
LOC107453752	5
LOC107453772	5
LOC107453775	5
LOC107453831	5
LOC107453993	5
LOC107454189	5
LOC107454202	5
LOC107454244	5
LOC107454268	5
LOC107454272	5
LOC107454274	5
LOC107454385	5
LOC107454425	5
LOC107454466	5
LOC107454515	5
LOC107454544	5
LOC107454616	5
LOC107454647	5
LOC107454653	5
LOC107454657	5
LOC107454759	5
LOC107454836	5
LOC107454899	5
LOC107454917	5
LOC107454946	5
LOC107455002	5
LOC107455068	5
LOC107455077	5
LOC107455114	5
LOC107455197	5
LOC107455214	5
LOC107455242	5
LOC107455284	5
LOC107455306	5
LOC107455387	5
LOC107455470	5
LOC107455527	5
LOC107455551	5
LOC107455640	5
LOC107455730	5
LOC107455768	5
LOC107455838	5
LOC107455848	5
LOC107455968	5
LOC107455995	5
LOC107456176	5
LOC107456200	5
LOC107456293	5
LOC107456327	5
LOC107456328	5
LOC107456355	5
LOC107456396	5
LOC107456410	5
LOC107456423	5
LOC107456492	5
LOC107456512	5
LOC107456595	5
LOC107456609	5
LOC107456634	5
LOC107456651	5
LOC107456827	5
LOC107457014	5
LOC107457100	5
LOC107457139	5
LOC107457248	5
LOC107457377	5
LOC107457440	5
LOC107457469	5
LOC107457539	5
LOC107457541	5
LOC122268225	5
LOC122268945	5
LOC122269136	5
LOC122269231	5
LOC122269538	5
LOC122269542	5
LOC122270296	5
LOC122270410	5
LOC122270758	5
LOC122271203	5
LOC122271583	5
LOC122272142	5
LOC122272403	5
LOC122272432	5
LOC122273031	5
LOC139425035	5
LOC139427122	5
LOC107436166	4
LOC107436193	4
LOC107436203	4
LOC107436212	4
LOC107436218	4
LOC107436244	4
LOC107436256	4
LOC107436302	4
LOC107436318	4
LOC107436320	4
LOC107436326	4
LOC107436347	4
LOC107436355	4
LOC107436366	4
LOC107436367	4
LOC107436387	4
LOC107436396	4
LOC107436398	4
LOC107436425	4
LOC107436487	4
LOC107436500	4
LOC107436501	4
LOC107436509	4
LOC107436516	4
LOC107436520	4
LOC107436532	4
LOC107436548	4
LOC107436659	4
LOC107436697	4
LOC107436714	4
LOC107436748	4
LOC107436767	4
LOC107436901	4
LOC107436921	4
LOC107436937	4
LOC107436947	4
LOC107436956	4
LOC107436959	4
LOC107436979	4
LOC107436981	4
LOC107436995	4
LOC107437053	4
LOC107437055	4
LOC107437075	4
LOC107437100	4
LOC107437101	4
LOC107437115	4
LOC107437128	4
LOC107437162	4
LOC107437177	4
LOC107437188	4
LOC107437210	4
LOC107437221	4
LOC107437245	4
LOC107437280	4
LOC107437325	4
LOC107437401	4
LOC107437442	4
LOC107437447	4
LOC107437526	4
LOC107437527	4
LOC107437530	4
LOC107437605	4
LOC107437623	4
LOC107437624	4
LOC107437682	4
LOC107437726	4
LOC107437806	4
LOC107437810	4
LOC107437847	4
LOC107437885	4
LOC107437944	4
LOC107437949	4
LOC107437953	4
LOC107437961	4
LOC107437964	4
LOC107437981	4
LOC107438118	4
LOC107438152	4
LOC107438213	4
LOC107438295	4
LOC107438409	4
LOC107438468	4
LOC107438477	4
LOC107438488	4
LOC107438489	4
LOC107438509	4
LOC107438520	4
LOC107438525	4
LOC107438564	4
LOC107438567	4
LOC107438575	4
LOC107438593	4
LOC107438609	4
LOC107438675	4
LOC107438676	4
LOC107438692	4
LOC107438705	4
LOC107438714	4
LOC107438721	4
LOC107438749	4
LOC107438758	4
LOC107438786	4
LOC107438823	4
LOC107438877	4
LOC107438885	4
LOC107438906	4
LOC107438936	4
LOC107438956	4
LOC107438971	4
LOC107439005	4
LOC107439020	4
LOC107439071	4
LOC107439128	4
LOC107439163	4
LOC107439209	4
LOC107439224	4
LOC107439257	4
LOC107439259	4
LOC107439279	4
LOC107439305	4
LOC107439334	4
LOC107439415	4
LOC107439455	4
LOC107439499	4
LOC107439507	4
LOC107439559	4
LOC107439564	4
LOC107439600	4
LOC107439674	4
LOC107439693	4
LOC107439710	4
LOC107439727	4
LOC107439782	4
LOC107439801	4
LOC107439806	4
LOC107439846	4
LOC107439872	4
LOC107439876	4
LOC107439881	4
LOC107439899	4
LOC107439919	4
LOC107439932	4
LOC107439981	4
LOC107440013	4
LOC107440033	4
LOC107440063	4
LOC107440075	4
LOC107440096	4
LOC107440139	4
LOC107440142	4
LOC107440147	4
LOC107440184	4
LOC107440185	4
LOC107440195	4
LOC107440207	4
LOC107440230	4
LOC107440277	4
LOC107440286	4
LOC107440322	4
LOC107440453	4
LOC107440477	4
LOC107440483	4
LOC107440500	4
LOC107440570	4
LOC107440636	4
LOC107440682	4
LOC107440757	4
LOC107440760	4
LOC107440761	4
LOC107440762	4
LOC107440784	4
LOC107440803	4
LOC107440811	4
LOC107440842	4
LOC107440873	4
LOC107440893	4
LOC107440894	4
LOC107440899	4
LOC107440914	4
LOC107440916	4
LOC107440938	4
LOC107440956	4
LOC107440979	4
LOC107441008	4
LOC107441107	4
LOC107441175	4
LOC107441188	4
LOC107441192	4
LOC107441198	4
LOC107441232	4
LOC107441255	4
LOC107441412	4
LOC107441434	4
LOC107441437	4
LOC107441476	4
LOC107441524	4
LOC107441572	4
LOC107441576	4
LOC107441618	4
LOC107441627	4
LOC107441643	4
LOC107441656	4
LOC107441660	4
LOC107441665	4
LOC107441670	4
LOC107441687	4
LOC107441771	4
LOC107441786	4
LOC107441832	4
LOC107441867	4
LOC107441878	4
LOC107441893	4
LOC107441901	4
LOC107441922	4
LOC107441933	4
LOC107441974	4
LOC107441976	4
LOC107441980	4
LOC107441987	4
LOC107442006	4
LOC107442011	4
LOC107442016	4
LOC107442041	4
LOC107442051	4
LOC107442066	4
LOC107442067	4
LOC107442070	4
LOC107442093	4
LOC107442106	4
LOC107442136	4
LOC107442146	4
LOC107442153	4
LOC107442168	4
LOC107442210	4
LOC107442239	4
LOC107442254	4
LOC107442270	4
LOC107442341	4
LOC107442345	4
LOC107442412	4
LOC107442432	4
LOC107442498	4
LOC107442560	4
LOC107442595	4
LOC107442644	4
LOC107442649	4
LOC107442736	4
LOC107442809	4
